datetime,open,high,low,close,tick_volume,gradient,signal_label,signal_with_time
2024-05-31,2344.1,2359.72,2320.64,2327.46,166661,-15.519999999999982,Bearish,Bearish (2024-05-31 00:00:00)
2024-06-03,2327.79,2354.77,2314.79,2350.45,173111,22.98999999999978,Bullish,Bullish (2024-06-03 00:00:00)
2024-06-04,2350.78,2352.86,2315.66,2326.79,180440,-23.659999999999854,Bearish,Bearish (2024-06-04 00:00:00)
2024-06-05,2326.54,2357.44,2325.91,2355.13,161411,28.340000000000146,Bullish,Bullish (2024-06-05 00:00:00)
2024-06-06,2356.17,2378.52,2353.5,2375.68,170841,20.549999999999727,Bullish,Bullish (2024-06-06 00:00:00)
2024-06-07,2375.82,2387.72,2286.82,2293.38,212141,-82.29999999999973,Bearish,Bearish (2024-06-07 00:00:00)
2024-06-10,2294.62,2313.8,2287.79,2310.86,141598,17.480000000000018,Bullish,Bullish (2024-06-10 00:00:00)
2024-06-11,2311.81,2319.97,2297.77,2316.73,156954,5.869999999999891,Bullish,Bullish (2024-06-11 00:00:00)
2024-06-12,2317.06,2341.66,2310.7,2324.88,177566,8.150000000000091,Bullish,Bullish (2024-06-12 00:00:00)
2024-06-13,2324.96,2326.72,2295.55,2303.85,168811,-21.0300000000002,Bearish,Bearish (2024-06-13 00:00:00)
2024-06-14,2303.91,2336.68,2301.56,2332.6,178178,28.75,Bullish,Bullish (2024-06-14 00:00:00)
2024-06-17,2331.37,2332.87,2310.05,2318.96,141443,-13.639999999999873,Bearish,Bearish (2024-06-17 00:00:00)
2024-06-18,2318.93,2333.17,2306.62,2329.34,145887,10.38000000000011,Bullish,Bullish (2024-06-18 00:00:00)
2024-06-19,2329.02,2335.01,2323.78,2328.24,88438,-1.1000000000003638,Bearish,Bearish (2024-06-19 00:00:00)
2024-06-20,2328.8,2365.54,2327.75,2360.02,158137,31.7800000000002,Bullish,Bullish (2024-06-20 00:00:00)
